Line,Station
Airport Line,AIRPORT TERMINAL B
Airport Line,AIRPORT TERMINAL A EAST
Airport Line,AIRPORT TERMINAL A WEST
Airport Line,EASTWICK
Airport Line,UNIVERSITY CITY
Airport Line,30TH STREET STATION
Airport Line,SUBURBAN STATION
Airport Line,JEFFERSON STATION
Airport Line,TEMPLE UNIVERSITY
Airport Line,WAYNE JUNCTION
Airport Line,FERN ROCK TRANS. CENTER
Airport Line,MELROSE PARK
Airport Line,ELKINS PARK
Airport Line,JENKINTOWN-WYNCOTE
Airport Line,GLENSIDE
Chestnut Hill East Line,CHESTNUT HILL EAST
Chestnut Hill East Line,GRAVERS
Chestnut Hill East Line,WYNDMOOR
Chestnut Hill East Line,MOUNT AIRY
Chestnut Hill East Line,SEDGWICK
Chestnut Hill East Line,STENTON
Chestnut Hill East Line,WASHINGTON LANE
Chestnut Hill East Line,GERMANTOWN
Chestnut Hill East Line,WISTER
Chestnut Hill East Line,WAYNE JUNCTION
Chestnut Hill East Line,TEMPLE UNIVERSITY
Chestnut Hill East Line,JEFFERSON STATION
Chestnut Hill East Line,SUBURBAN STATION
Chestnut Hill East Line,30th STREET STATION
Chestnut Hill West Line,CHESTNUT HILL WEST
Chestnut Hill West Line,HIGHLAND
Chestnut Hill West Line,ST. MARTINS
Chestnut Hill West Line,ALLEN LANE
Chestnut Hill West Line,CARPENTER
Chestnut Hill West Line,UPSAL   
Chestnut Hill West Line,TULPEHOCKEN 
Chestnut Hill West Line,CHELTEN AVENUE
Chestnut Hill West Line,QUEEN LANE 
Chestnut Hill West Line,NORTH PHILADELPHIA    
Chestnut Hill West Line,30th STREET STATION 
Chestnut Hill West Line,SUBURBAN STATION
Chestnut Hill West Line,JEFFERSON STATION
Chestnut Hill West Line,TEMPLE UNIVERSITY
Cynwyd Line,CYNWYD
Cynwyd Line,BALA 
Cynwyd Line,WYNNEFIELD AVENUE
Cynwyd Line,30th STREET Station
Cynwyd Line,SUBURBAN STATION
Fox Chase Line,FOX CHASE
Fox Chase Line,RYERS
Fox Chase Line,CHELTENHAM
Fox Chase Line,LAWNDALE
Fox Chase Line,OLNEY
Fox Chase Line,WAYNE JUNCTION
Fox Chase Line,TEMPLE UNIVERSITY
Fox Chase Line,JEFFERSON STATION
Fox Chase Line,SUBURBAN STATION
Fox Chase Line,30th STREET STATION
Glenside Combined Line,GLENSIDE
Glenside Combined Line,JENKINTOWN-WYNCOTE
Glenside Combined Line,ELKINS PARK
Glenside Combined Line,MELROSE PARK
Glenside Combined Line,FERN ROCK TRANS. CENTER
Glenside Combined Line,WAYNE JUNCTION
Glenside Combined Line,NORTH BROAD
Glenside Combined Line,TEMPLE UNIVERSITY
Glenside Combined Line,JEFFERSON STATION
Glenside Combined Line,SUBURBAN STATION
Glenside Combined Line,30th STREET STATION
Glenside Combined Line,UNIVERSITY CITY
Lansdale Doylestown Line,Doylestown
Lansdale Doylestown Line,Delaware Valley University
Lansdale Doylestown Line,New Britain
Lansdale Doylestown Line,Chalfont
Lansdale Doylestown Line,Link Belt
Lansdale Doylestown Line,Colmar
Lansdale Doylestown Line,Fortuna
Lansdale Doylestown Line,9th Street
Lansdale Doylestown Line,Lansdale
Lansdale Doylestown Line,Pennbrook
Lansdale Doylestown Line,North Wales
Lansdale Doylestown Line,Gwynedd Valley
Lansdale Doylestown Line,Penllyn
Lansdale Doylestown Line,Ambler
Lansdale Doylestown Line,Fort Washington
Lansdale Doylestown Line,Oreland
Lansdale Doylestown Line,North Hills
Lansdale Doylestown Line,Glenside
Lansdale Doylestown Line,Jenkintown-Wyncote
Lansdale Doylestown Line,Elkins Park
Lansdale Doylestown Line,Melrose Park
Lansdale Doylestown Line,Fern Rock Transportation Center
Lansdale Doylestown Line,Wayne Junction
Lansdale Doylestown Line,North Broad
Lansdale Doylestown Line,Temple University
Lansdale Doylestown Line,Jefferson Station
Lansdale Doylestown Line,Suburban Station
Lansdale Doylestown Line,30th Street Station
Center City to University City Line,University City Station
Center City to University City Line,30th Street Station
Center City to University City Line,Suburban  Station
Center City to University City Line,Jefferson Station
Manayunk/Norristown Line,Norristown Elm Street
Manayunk/Norristown Line,Main Street
Manayunk/Norristown Line,Norristown Transportation Center
Manayunk/Norristown Line,Conshohocken
Manayunk/Norristown Line,Spring Mill
